CANAL;COMENTARIO
CONOCE-AQUI;Buen servicio
CONOCE-AQUI;Se requier opcion d eimpresion
CONOCE-AQUI;excelente...recién me entere que se podía tener este servicio 
CONOCE-AQUI;.
CONOCE-AQUI;ok
CONOCE-AQUI;perfecto
CONOCE-AQUI;Excelente ayuda
CONOCE-AQUI;bien
CONOCE-AQUI;22252
CONOCE-AQUI;MUY BUENA
CONOCE-AQUI;k
CONOCE-AQUI;"excelente
"
CONOCE-AQUI;No sé puede descargar 
CONOCE-AQUI;No aparece el nombre del propietario del predio
CONOCE-AQUI;BUENA VOZ
CONOCE-AQUI;"
"
CONOCE-AQUI;bb uit8
CONOCE-AQUI;-
CONOCE-AQUI;JOPJLJM
CONOCE-AQUI;OKJ
CONOCE-AQUI;una buena plataforma
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;OK
CONOCE-AQUI;....
CONOCE-AQUI;s
CONOCE-AQUI;ok
CONOCE-AQUI;Ff
CONOCE-AQUI;-
CONOCE-AQUI;"MUY POCO TIEMPO... DEBERIA SER 1 HORA
"
CONOCE-AQUI;ok
CONOCE-AQUI;perfecto
CONOCE-AQUI;que se pueda ver las hojas competas para tomar el pantallazo
CONOCE-AQUI;"ok
"
CONOCE-AQUI;Ok
CONOCE-AQUI;qqq
CONOCE-AQUI;.
CONOCE-AQUI;No se ve la partida completa 
CONOCE-AQUI;excelente
CONOCE-AQUI;"3 consultas es muy poco
"
CONOCE-AQUI;Gracias 
CONOCE-AQUI;OK
CONOCE-AQUI;BIEN
CONOCE-AQUI;hvh
CONOCE-AQUI;TODO BIEN
CONOCE-AQUI;CONFORME.
CONOCE-AQUI;AFA
CONOCE-AQUI;si
CONOCE-AQUI;bueno
CONOCE-AQUI;bien
CONOCE-AQUI;.
CONOCE-AQUI;333
CONOCE-AQUI;bueno
CONOCE-AQUI;ok
CONOCE-AQUI;CONFORME
CONOCE-AQUI;Ok
CONOCE-AQUI;malka
CONOCE-AQUI;x
CONOCE-AQUI;BIEN
CONOCE-AQUI;OK
CONOCE-AQUI;"pocas opciones
"
CONOCE-AQUI;tfuuy
CONOCE-AQUI;tatogucci
CONOCE-AQUI;"ninguno 
"
CONOCE-AQUI;s
CONOCE-AQUI;OK
CONOCE-AQUI;df
CONOCE-AQUI;ok
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;Bueno
CONOCE-AQUI;"+
+
"
CONOCE-AQUI;me gustaría poder Imprimir el documento desde mi máquina
CONOCE-AQUI;C
CONOCE-AQUI;ok
CONOCE-AQUI;sad
CONOCE-AQUI;BUENA HERRAMIENTA
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;vefved
CONOCE-AQUI;si
CONOCE-AQUI;EXECELENTE
CONOCE-AQUI;sx
CONOCE-AQUI;".
"
CONOCE-AQUI;bien
CONOCE-AQUI;j
CONOCE-AQUI;ojk
CONOCE-AQUI;ok
CONOCE-AQUI;S
CONOCE-AQUI;GRACIAS, ES UNA MEJOR MANERA QUE NOS SIRVEN PARA AHORRAR TIEMPO Y ECONOMIA
CONOCE-AQUI;Excelente!
CONOCE-AQUI;wewewe
CONOCE-AQUI;OK
CONOCE-AQUI;a
CONOCE-AQUI;DZGH
CONOCE-AQUI;OK
CONOCE-AQUI;mas intentos
CONOCE-AQUI;es de gran ayuda
CONOCE-AQUI;Poder imprimir 
CONOCE-AQUI;"BUENA HERRAMIENTA
"
CONOCE-AQUI;f
CONOCE-AQUI;Bueno 
CONOCE-AQUI;OK
CONOCE-AQUI;DDD
CONOCE-AQUI;Es una aplicación muy buena.
CONOCE-AQUI;s 
CONOCE-AQUI;'
CONOCE-AQUI;"OK
"
CONOCE-AQUI;"muy bueno
"
CONOCE-AQUI;"muy dinamica
"
CONOCE-AQUI;Nn
CONOCE-AQUI;C
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;"BIEN
"
CONOCE-AQUI;"Excelente
"
CONOCE-AQUI;OK
CONOCE-AQUI;una gran gestión
CONOCE-AQUI;bien
CONOCE-AQUI;OK
CONOCE-AQUI;.
CONOCE-AQUI;excelente
CONOCE-AQUI;Bien
CONOCE-AQUI;Muy bien
CONOCE-AQUI;MUY BIEN
CONOCE-AQUI;"esta perfecto 
"
CONOCE-AQUI;bien
CONOCE-AQUI;bien
CONOCE-AQUI;rapido
CONOCE-AQUI;.
CONOCE-AQUI;A
CONOCE-AQUI;good
CONOCE-AQUI;NADA
CONOCE-AQUI;ok
CONOCE-AQUI;DEBERIA PERMITIR REGRESAR AL MENU PRINCIPAL PARA REALIZAR OTRA CONSULTA. DISCULPA LAS MAYUSCULAS
CONOCE-AQUI;DEBERIA VERSE LAS CUATRO HOJAS QUE FIGURAN EN LA PARTIDA, ESTO PERMITIRIA AL USUARIO SABER CUAL DE ELLAS SOLICITARIA SEGUN SUS NECESIDADES Y TAMBIEN TODO LOS ANTECEDENTES COMPLETOS  
CONOCE-AQUI;Bien
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;Todo OK
CONOCE-AQUI;s
CONOCE-AQUI;sd
CONOCE-AQUI;SAD
CONOCE-AQUI;kkkk
CONOCE-AQUI;bien
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;OK
CONOCE-AQUI;OK
CONOCE-AQUI;VBN 
CONOCE-AQUI;ok
CONOCE-AQUI;YA
CONOCE-AQUI;olk
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;si
CONOCE-AQUI;Muy bueno
CONOCE-AQUI;graciaas
CONOCE-AQUI;"Bueno
"
CONOCE-AQUI;Excelente 
CONOCE-AQUI;BUENO
CONOCE-AQUI;Excelente 
CONOCE-AQUI;Buena plataforma
CONOCE-AQUI;tn
CONOCE-AQUI;r3fv3rf
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;tas
CONOCE-AQUI;la barra lateral con los asientos podria estar más ordenanda sin tanta informacion como año o rubro porque hay algunas que no tienen ese dato entonces solo ocupan espacio innecesario
CONOCE-AQUI;WEDRFWDF
CONOCE-AQUI;S
CONOCE-AQUI;a veces no es posible visualizar la partida registral completa 
CONOCE-AQUI;"excelente
"
CONOCE-AQUI;klsdfnjalsk<dj,naws
CONOCE-AQUI;MUY BIEN
CONOCE-AQUI;Excelente trabajo, ahorro de tiempo y eficaz. Felicitaciones.
CONOCE-AQUI;QUITAR CAPCHE
CONOCE-AQUI;ok
CONOCE-AQUI;EXC.
CONOCE-AQUI;bien
CONOCE-AQUI;l
CONOCE-AQUI;OK
CONOCE-AQUI;QWE
CONOCE-AQUI;bIEN
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;"MUY IMPORTANTE PARA ESTAR INFORMADO
"
CONOCE-AQUI;"Bien
"
CONOCE-AQUI;.
CONOCE-AQUI;kkkkkkkkkkkkkkk
CONOCE-AQUI;Todo bien
CONOCE-AQUI;GREGRG
CONOCE-AQUI;Muy bueno
CONOCE-AQUI;gracoas
CONOCE-AQUI;muy bueno
CONOCE-AQUI;SIGAN MANTENIENDO ESTE ALTO GRADO DE CALIDAD
CONOCE-AQUI;Muy util
CONOCE-AQUI;.
CONOCE-AQUI;Muy bueno
CONOCE-AQUI;conforme
CONOCE-AQUI;FGEWRGWREG
CONOCE-AQUI;buena
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;dyhrt
CONOCE-AQUI;:)
CONOCE-AQUI;excelente
CONOCE-AQUI;Siempre agradeciendo a la sunarp por la informacion brindada.
CONOCE-AQUI;NO PERMITE VER LOS DEMÁS ASIENTOS. Y DEBERÍA PODER VER EL DOCUMENTO COMPLETO EN UNA VENTSNA GRANDE, EN LUGAR DE PONERLO EN UNA VENTANA PEQUEÑA.
CONOCE-AQUI;No atendido
CONOCE-AQUI;Muy buen servicio
CONOCE-AQUI;OK
CONOCE-AQUI;bueno
CONOCE-AQUI;BIEN
CONOCE-AQUI;muy bien
CONOCE-AQUI;ok
CONOCE-AQUI;OK
CONOCE-AQUI;QWE
CONOCE-AQUI;SS
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;c
CONOCE-AQUI;Si
CONOCE-AQUI;Jj
CONOCE-AQUI;MUY BIEN
CONOCE-AQUI;"CONFORME
"
CONOCE-AQUI;MUY BUENA
CONOCE-AQUI;excelente
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;ss
CONOCE-AQUI;WRFGBFDEFGERDDSDSFSDFFHÑDFLG,,FQ,G,+S´D+LSSZ´XÁPWE´WEM,RHKM CMFLMCMMHIMXFMGIDSMTGHDNOBNCVMÑS,RGPBNMOPDMFEMFOMZXFGMBOFMCFMOFNGONDOCXNLKVCM.,BM.VMM0SMGIOFNGONOFNGONOFNGFSDSDSD
CONOCE-AQUI;todo muy eficiente
CONOCE-AQUI;b
CONOCE-AQUI;falta imprimir
CONOCE-AQUI;Muchas gracias por su servicio 
CONOCE-AQUI;s
CONOCE-AQUI;BUENO 
CONOCE-AQUI;w
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;tut
CONOCE-AQUI;oki
CONOCE-AQUI;".
"
CONOCE-AQUI;Por el momento todo bien
CONOCE-AQUI;"GOOD
"
CONOCE-AQUI;....................................
CONOCE-AQUI;BIEN
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;"me ayuda a conoser al que vende su terreno. y ver si no tiene carga.
"
CONOCE-AQUI;hdfhfd
CONOCE-AQUI;x
CONOCE-AQUI;"0
"
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;OK
CONOCE-AQUI;"poder hacer mas de 3 busquedas por dia 
"
CONOCE-AQUI;F
CONOCE-AQUI;BIEN
CONOCE-AQUI;XCCVXX
CONOCE-AQUI;OKI
CONOCE-AQUI;ok
CONOCE-AQUI;OK
CONOCE-AQUI;"bien
"
CONOCE-AQUI;:)
CONOCE-AQUI;no se puede imprimir
CONOCE-AQUI;OIOI
CONOCE-AQUI;ok
CONOCE-AQUI;JJJJ
CONOCE-AQUI;gf
CONOCE-AQUI;OK
CONOCE-AQUI;QWE
CONOCE-AQUI;OK
CONOCE-AQUI;MUY BUENO, AYUDA A DESPEJAR DUDAS
CONOCE-AQUI;No sé ve el archivo
CONOCE-AQUI;<
CONOCE-AQUI;ninguna
CONOCE-AQUI;Ok
CONOCE-AQUI;F
CONOCE-AQUI;v
CONOCE-AQUI;mas tiempo
CONOCE-AQUI;ok
CONOCE-AQUI;bueno
CONOCE-AQUI;ss
CONOCE-AQUI;"OK
"
CONOCE-AQUI;S
CONOCE-AQUI;.
CONOCE-AQUI;wdwd
CONOCE-AQUI;b
CONOCE-AQUI;Ok
CONOCE-AQUI;"hermoso
"
CONOCE-AQUI;BIEN
CONOCE-AQUI;KMKM
CONOCE-AQUI;Esta bien
CONOCE-AQUI;"perfecto
"
CONOCE-AQUI;Gracias, buen servicio.
CONOCE-AQUI;s
CONOCE-AQUI;b
CONOCE-AQUI;opcion de imprimir
CONOCE-AQUI;OK
CONOCE-AQUI;bueno
CONOCE-AQUI;MUY SATISFECHO
CONOCE-AQUI;bien
CONOCE-AQUI;excellente
CONOCE-AQUI;tiempo
CONOCE-AQUI;ES MUY BUENA PAGINA
CONOCE-AQUI;OK
CONOCE-AQUI;C
CONOCE-AQUI;.
CONOCE-AQUI;bien
CONOCE-AQUI;"bien
"
CONOCE-AQUI;Excelente servicio.
CONOCE-AQUI;.
CONOCE-AQUI;muy lento
CONOCE-AQUI;bien
CONOCE-AQUI;f
CONOCE-AQUI;EXELENTE 
CONOCE-AQUI;BIEN
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;ok
CONOCE-AQUI;"yes
"
CONOCE-AQUI;ok
CONOCE-AQUI;.
CONOCE-AQUI;f
CONOCE-AQUI;Gracias
CONOCE-AQUI;BIen
CONOCE-AQUI;"OK
"
CONOCE-AQUI;ok
CONOCE-AQUI;Gu
CONOCE-AQUI;SAD
CONOCE-AQUI;SAD
CONOCE-AQUI;MUCHAS GRACIAS
CONOCE-AQUI;excelente
CONOCE-AQUI;ok
CONOCE-AQUI;efewf
CONOCE-AQUI;excelente
CONOCE-AQUI;SW2
CONOCE-AQUI;HGFHJF
CONOCE-AQUI;"1
"
CONOCE-AQUI;j
CONOCE-AQUI; 
CONOCE-AQUI;muccha encuesta
CONOCE-AQUI;No me gista que me obligen a responder
CONOCE-AQUI;.
CONOCE-AQUI;ewe
CONOCE-AQUI;b
CONOCE-AQUI;adswad
CONOCE-AQUI;BIEN
CONOCE-AQUI;Muy bueno. pero no debería ser permitido que otras personas registren tu propiedad sin consentimiento.  
CONOCE-AQUI;.
CONOCE-AQUI;f
CONOCE-AQUI;"todo bien
"
CONOCE-AQUI;.
CONOCE-AQUI;xx
CONOCE-AQUI;dghbn
CONOCE-AQUI;RGET
CONOCE-AQUI;OK
CONOCE-AQUI;Sigan así esta excelente el servicio
CONOCE-AQUI;DSVSVSVSE
CONOCE-AQUI;RAPIDO Y EFICAZ
CONOCE-AQUI; 
CONOCE-AQUI;oikoik
CONOCE-AQUI;f
CONOCE-AQUI;.
CONOCE-AQUI;xxx
CONOCE-AQUI;No se aprecia nada
CONOCE-AQUI;muy poco tiempo de visualización
CONOCE-AQUI;"MUCHA ENCUESTA
"
CONOCE-AQUI;PPPPPPPPPPPPPP
CONOCE-AQUI;SADFASDAS
CONOCE-AQUI;ok
CONOCE-AQUI;bueno
CONOCE-AQUI;D
CONOCE-AQUI;ok
CONOCE-AQUI;.
CONOCE-AQUI;J
CONOCE-AQUI;excelente
CONOCE-AQUI;conforme
CONOCE-AQUI;mmm
CONOCE-AQUI;ok
CONOCE-AQUI;F
CONOCE-AQUI;BUENO
CONOCE-AQUI;GF
CONOCE-AQUI;xxxxxxx
CONOCE-AQUI;ok
CONOCE-AQUI;ninguna
CONOCE-AQUI;nada
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;"Deberían agrandar el tamaño de la pantalla de la partida pues es complicado leer el texto íntegro dado que hay que mover de un lado a otro.
"
CONOCE-AQUI;bien SUNARP
CONOCE-AQUI;NO
CONOCE-AQUI;buen canal
CONOCE-AQUI;Excelente servicio
CONOCE-AQUI;BIEN
CONOCE-AQUI;".
"
CONOCE-AQUI;OK
CONOCE-AQUI;saa
CONOCE-AQUI;VC
CONOCE-AQUI;BIEN
CONOCE-AQUI;Oki
CONOCE-AQUI;"OK
"
CONOCE-AQUI;z
CONOCE-AQUI;.
CONOCE-AQUI;ok
CONOCE-AQUI;DASDAS
CONOCE-AQUI;Muy bueno
CONOCE-AQUI;la pagina debe ser entera, no se visualiza co facilidad una pagina entera
CONOCE-AQUI;DC<DS
CONOCE-AQUI;BUEN SERVICIO
CONOCE-AQUI;1
CONOCE-AQUI;LLLLLLLLLLLLLLLLLLLLL
CONOCE-AQUI;excelente servicio
CONOCE-AQUI;Bien. 
CONOCE-AQUI;chewv
CONOCE-AQUI;ok
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;x
CONOCE-AQUI;buen servicio
CONOCE-AQUI;ok
CONOCE-AQUI;"bien
"
CONOCE-AQUI;"Conforme.
"
CONOCE-AQUI;genial
CONOCE-AQUI;NADA
CONOCE-AQUI;ninguno
CONOCE-AQUI;ok
CONOCE-AQUI;OK
CONOCE-AQUI;F
CONOCE-AQUI;GENIAL
CONOCE-AQUI;Nunca descargo, no pude leer la partida
CONOCE-AQUI;Bueno muy bueno
CONOCE-AQUI;NINGUNA
CONOCE-AQUI;gracias
CONOCE-AQUI;gracias
CONOCE-AQUI;no
CONOCE-AQUI;XXX
CONOCE-AQUI;.kbgk
CONOCE-AQUI;MUY BUENA LA INFORMACION 
CONOCE-AQUI;Esta muy. bien el que pueda visualizar pero que pasa si quiero pagar por una copia y obtenerla de manera electronica
CONOCE-AQUI;good
CONOCE-AQUI;ok
CONOCE-AQUI;bien 
CONOCE-AQUI;bueno
CONOCE-AQUI;WW
CONOCE-AQUI;ok
CONOCE-AQUI;G
CONOCE-AQUI;"NO SALIO QUE BUSCABA
"
CONOCE-AQUI;JH
CONOCE-AQUI;FSDF
CONOCE-AQUI;excelente
CONOCE-AQUI;,,
CONOCE-AQUI;VNCGFD
CONOCE-AQUI;"MAS INTENTOS 
"
CONOCE-AQUI;"Gracias por hacernos la vida más fácil.
 "
CONOCE-AQUI;bien
CONOCE-AQUI;No se visualizan todas las paritdas
CONOCE-AQUI;ok
CONOCE-AQUI;OK
CONOCE-AQUI;mas tiempo para visualizar 
CONOCE-AQUI;OK
CONOCE-AQUI;..
CONOCE-AQUI;AWD
CONOCE-AQUI;https://conoce-aqui.sunarp.gob.pe/conoce-aqui/assets/img/5.png
CONOCE-AQUI;1
CONOCE-AQUI;Excelente institución
CONOCE-AQUI;si
CONOCE-AQUI;Conforme
CONOCE-AQUI;k
CONOCE-AQUI;BUENA
CONOCE-AQUI;-
CONOCE-AQUI;idem
CONOCE-AQUI;SAD
CONOCE-AQUI;todo bueno
CONOCE-AQUI;OK
CONOCE-AQUI;SAD
CONOCE-AQUI;VDFV
CONOCE-AQUI;no permite visualizar nada
CONOCE-AQUI;OK
CONOCE-AQUI;d
CONOCE-AQUI;bien
CONOCE-AQUI;buena
CONOCE-AQUI;bien
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;Está genial, sólo que sería más ágil contar con una ventana que deje mostrar la página completa. Gracias.
CONOCE-AQUI;BUENAZO
CONOCE-AQUI;excelente 
CONOCE-AQUI;k
CONOCE-AQUI;dasda
CONOCE-AQUI;exelente servicio
CONOCE-AQUI;dice que el asiento consta de dos páginas, pero solo muestra una. no hay forma de ver la otra.
CONOCE-AQUI;NADA
CONOCE-AQUI;muy bueno el servicio. se podría aprobar la autorizacion para impresión de la partida.
CONOCE-AQUI;"B
"
CONOCE-AQUI; 
CONOCE-AQUI;BIEN
CONOCE-AQUI;EXCELENTE APLICACION
CONOCE-AQUI;"NO SE PUEDE VER
"
CONOCE-AQUI;MUY BIEN
CONOCE-AQUI;MUY FACIL
CONOCE-AQUI;F
CONOCE-AQUI;RGRG
CONOCE-AQUI;OK
CONOCE-AQUI;:D
CONOCE-AQUI;SE DEBERIA PODER IMPRIMIR
CONOCE-AQUI;.
CONOCE-AQUI;BIEN 
CONOCE-AQUI;EXCELENTE SERVICIO
CONOCE-AQUI;knk
CONOCE-AQUI;"bueno
"
CONOCE-AQUI;ok
CONOCE-AQUI;excelente
CONOCE-AQUI;DDDD
CONOCE-AQUI;bueno
CONOCE-AQUI;as
CONOCE-AQUI;p
CONOCE-AQUI;genial
CONOCE-AQUI;bien
CONOCE-AQUI;GHGDF
CONOCE-AQUI;.....
CONOCE-AQUI;nada
CONOCE-AQUI;OK
CONOCE-AQUI;SDFDS
CONOCE-AQUI;buena
CONOCE-AQUI;"BUENO

"
CONOCE-AQUI;BIEN
CONOCE-AQUI;"muy buena
"
CONOCE-AQUI;No se puede descargar 
CONOCE-AQUI;EXLENTE
CONOCE-AQUI;GRACIAS NOS AYUDA  MUCHO
CONOCE-AQUI;a
CONOCE-AQUI;Excelente 
CONOCE-AQUI;hhk
CONOCE-AQUI;ok
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;mas tiempo
CONOCE-AQUI;.
CONOCE-AQUI;BIEN
CONOCE-AQUI;s
CONOCE-AQUI;Sudjduduuddu
CONOCE-AQUI;bueno
CONOCE-AQUI;g
CONOCE-AQUI;habilitar opcion de impresion
CONOCE-AQUI;"bien
"
CONOCE-AQUI;+
CONOCE-AQUI;o
CONOCE-AQUI;.,
CONOCE-AQUI;"bien
"
CONOCE-AQUI;muy bueno
CONOCE-AQUI;"PERFECTO EL SERVICIO
"
CONOCE-AQUI;s
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;RÁPIDO 
CONOCE-AQUI;J
CONOCE-AQUI;bien
CONOCE-AQUI;Muy bueno gracias
CONOCE-AQUI;"No puedo visualizar las otra páginas de mi partida solo la,última 
"
CONOCE-AQUI;No puude visualizar las páginas anteriores  ¿¿
CONOCE-AQUI;"Sería mejor si el área de visualización fuese un más amplia
"
CONOCE-AQUI;DEMASIADAS ENCUESTAAAAASSSS AHHH CARAJO
CONOCE-AQUI;OK
CONOCE-AQUI;Muy recomendado, me brindó la información deseada. 
CONOCE-AQUI;good
CONOCE-AQUI;muy buena plataforma
CONOCE-AQUI;XXX
CONOCE-AQUI;si 
CONOCE-AQUI;s
CONOCE-AQUI;ok
CONOCE-AQUI;EXCELENTE AYUDA, PARA LOS CIUDADANOS
CONOCE-AQUI;ok
CONOCE-AQUI;DEBERIA PERMITIR HOJA COMPLETA
CONOCE-AQUI;MUY BUENA AYUDA
CONOCE-AQUI;Muy bueno.
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;"bueno 
"
CONOCE-AQUI;"BUENO
"
CONOCE-AQUI;excelente
CONOCE-AQUI;ew
CONOCE-AQUI;EXCELENT
CONOCE-AQUI;bien
CONOCE-AQUI;"ok
"
CONOCE-AQUI;OK
CONOCE-AQUI;OK
CONOCE-AQUI;MMMMM
CONOCE-AQUI;bien
CONOCE-AQUI;"buenaapp
"
CONOCE-AQUI;ampliar el tramo de visualización.
CONOCE-AQUI;ASDAD
CONOCE-AQUI;Excelente trabajo
CONOCE-AQUI;MUY BUEN SERVICIO
CONOCE-AQUI; 
CONOCE-AQUI;sfdsf
CONOCE-AQUI;PERFECTO
CONOCE-AQUI;L
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;ME PARECE QUE HA IDO MEJORANDO LA PLATAFORMA, ES MÁS DINÁMICA PARA EL USUARIO.
CONOCE-AQUI;Yhhhhh
CONOCE-AQUI;x
CONOCE-AQUI;bien
CONOCE-AQUI;Buena
CONOCE-AQUI;Mas opciones
CONOCE-AQUI;OK
CONOCE-AQUI;buen
CONOCE-AQUI;.
CONOCE-AQUI;MUY BIEN MODERNIZADO
CONOCE-AQUI;Muy bueno 
CONOCE-AQUI;se agradece
CONOCE-AQUI;ok
CONOCE-AQUI;excelente
CONOCE-AQUI;SI
CONOCE-AQUI;gracias
CONOCE-AQUI;TODO BIEN 
CONOCE-AQUI;OK
CONOCE-AQUI;"me es facil revisar la informacion gracias
"
CONOCE-AQUI;OJJHJK
CONOCE-AQUI;"good
"
CONOCE-AQUI;oi clarrro
CONOCE-AQUI;Cunado visualizas un asiento, y quieres cambiar la imagen que sigue, tienes que volver a ubicar el asiento, que en partidas con 10 asientos a mas, debes desplazar la pantalla hasta abajo, dejas de ver el asiento, lo cual es bastante incómodo (no dinámico)
CONOCE-AQUI;buena oportunidad para conocer una partida
CONOCE-AQUI;h
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;"ok
"
CONOCE-AQUI;.
CONOCE-AQUI;"bien
"
CONOCE-AQUI;"bien
"
CONOCE-AQUI;na
CONOCE-AQUI;Muy ¿¿ 
CONOCE-AQUI;muy buena pagina, que ayuda a las personas a visualizar el estado de su predio
CONOCE-AQUI;ç
CONOCE-AQUI;Bien
CONOCE-AQUI;EXCELENTE SRES. SUNARP
CONOCE-AQUI;FACILITA EL TIEMPO
CONOCE-AQUI;g
CONOCE-AQUI;bueno
CONOCE-AQUI;excelente servicio seguimos trabajando
CONOCE-AQUI;EL CONTENIDO NO ESTA NITIDO
CONOCE-AQUI;"ESTÀ PERFECTO PARA TENER LA INFORMACIÒN RÀPIDA DE LOS DATOS DEL DOCUMENTO.
GRACIAS"
CONOCE-AQUI;QQ
CONOCE-AQUI;Excelente¿¿¿¿¿¿
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI; c
CONOCE-AQUI;hola
CONOCE-AQUI;Excelente!
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;SD
CONOCE-AQUI;BUEN 
CONOCE-AQUI;RSRHSR
CONOCE-AQUI;yes
CONOCE-AQUI;GENIAL
CONOCE-AQUI;Ok
CONOCE-AQUI;klkl
CONOCE-AQUI;Muy buena 
CONOCE-AQUI;EXCELENTE 
CONOCE-AQUI;excelente
CONOCE-AQUI;Gracias por la informacion
CONOCE-AQUI;Muy buen servicio
CONOCE-AQUI;Tt
CONOCE-AQUI;Poder realizar mas de una consulta sin tener que volver a iniciar sesión.
CONOCE-AQUI;muy bueno
CONOCE-AQUI;OK
CONOCE-AQUI;"Bien
"
CONOCE-AQUI;BIEN
CONOCE-AQUI;excelente
CONOCE-AQUI;dgdfs
CONOCE-AQUI;Ok
CONOCE-AQUI;BUENO
CONOCE-AQUI;.
CONOCE-AQUI;jj
CONOCE-AQUI;MM
CONOCE-AQUI;ZXzZXCASdxasdxas
CONOCE-AQUI;Gracias.
CONOCE-AQUI;F
CONOCE-AQUI;Gracias , muy buen  alance  para acceder gratuitamente .
CONOCE-AQUI;"MUY BUENO 
"
CONOCE-AQUI;"ok
"
CONOCE-AQUI;TYDCFHVB
CONOCE-AQUI;excelente
CONOCE-AQUI;bueno
CONOCE-AQUI;excelente!!!
CONOCE-AQUI;bien
CONOCE-AQUI;-
CONOCE-AQUI;:)
CONOCE-AQUI;ff
CONOCE-AQUI;OK
CONOCE-AQUI;niguno
CONOCE-AQUI;Ok
CONOCE-AQUI;xx
CONOCE-AQUI;XCXCX
CONOCE-AQUI;"Excelente¡¡¡
"
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;Buena información 
CONOCE-AQUI;no se puede imprimnir en pdf
CONOCE-AQUI;"bueno}
"
CONOCE-AQUI;OK
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;FN
CONOCE-AQUI;.
CONOCE-AQUI;"MUY POCO TIEMPO
"
CONOCE-AQUI;,
CONOCE-AQUI;.
CONOCE-AQUI;BDFFFFD
CONOCE-AQUI;ct
CONOCE-AQUI;Dc
CONOCE-AQUI;bien
CONOCE-AQUI;hujk
CONOCE-AQUI;W
CONOCE-AQUI;4
CONOCE-AQUI;no te permite regresar para hacer otra consulta. Tienes que retroceder y volver a registrarte y aceptar los terminos y condiciones
CONOCE-AQUI;ok
CONOCE-AQUI;BUENI
CONOCE-AQUI;BIENN BBBBBBBBBBBBBBBBBBBBBBBBVVVVVVVVVVVVVVVVVVVVV
CONOCE-AQUI;gvd
CONOCE-AQUI;Se debe permitir mas tiempo y mas consultas
CONOCE-AQUI;ok
CONOCE-AQUI;GGFG
CONOCE-AQUI;BUENO
CONOCE-AQUI;buena
CONOCE-AQUI;"3
"
CONOCE-AQUI;OK
CONOCE-AQUI;QWE
CONOCE-AQUI;Ok
CONOCE-AQUI;f
CONOCE-AQUI;2133
CONOCE-AQUI;ok
CONOCE-AQUI;gracias 
CONOCE-AQUI;muy bueno
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;.
CONOCE-AQUI;g
CONOCE-AQUI;a
CONOCE-AQUI;Ok
CONOCE-AQUI;vw
CONOCE-AQUI;aaa
CONOCE-AQUI;FACIL Y RAPIDO
CONOCE-AQUI;BUENO
CONOCE-AQUI;DEBERIA PERMITIR DESCARGAR LA INFORMACIÓN, YA QUE ES UTIL, Y SI DESEAMOS LA LITERAL SE PAGA. GRACIAS
CONOCE-AQUI;excelente
CONOCE-AQUI;MUY BIEN
CONOCE-AQUI;La partida no se puede descargar
CONOCE-AQUI;OK
CONOCE-AQUI;D
CONOCE-AQUI;OK
CONOCE-AQUI;aaaaaaaaaaaaaaaaaa
CONOCE-AQUI;WETRT
CONOCE-AQUI;Excelente aplicativo
CONOCE-AQUI;a
CONOCE-AQUI;ok
CONOCE-AQUI;.
CONOCE-AQUI;frfref
CONOCE-AQUI;No encontré lo que buscaba
CONOCE-AQUI;Exelente 
CONOCE-AQUI;POR EL MOMENTO NADA, TODO ESTA BIEN
