COMENTARIO;frecuencia
es una heraamienta muy amigable;1
es una guia importante en la computadora no sale la vista aerea solo color blanco;1
es una grana yuda para verificar si es ainscrita el predio que se nos ha vendido;1
es una gran ventaja la plataforma;1
es una gran ventaja contar con este servicio gratuito;1
es una gran propuesta pero carga muy lento y los tiempos expiran felicitar por esta iniciativa pero fortalecerlo y agilizarlo muchas gracias;1
es una gran plataforma muchisimas gracias por el servicio;1
es una informacion referencial que ayuda gracias;1
es una informacion que nos apoya verificar predios con registro;1
es una informacion necesaria y quien mejor que sunarp para facilitarla a bajo costo;1
es una informacion genuina;1
es una informacion buena;1
es una huevada quiero avanzar a otra pagina y no puedo;1
es una herramiento muy util al momento de pretender adquirir una propiedad y no ser estafado muchas gracias;1
es una herramiento deacorde a los tiempos modernos;1
es una herramiente de mucha ayuda;1
es una herramienta util para quienes trabajamos en municipalidades;1
es una herramienta util en las busquedas;1
es una herramienta sencilla pero muy practica;1
es una herramienta que nos sirve de mucha ayuda nos ahorra el tiempo y el fastidio de las colas gracias por este servicio;1
es una herramienta que facilita los trabajos de gestion en la entidades publicas;1
es una herramienta que aporta transparenta la gestion de rrpp;1
es una herramienta muy valiosa;1
es una pagina muy util;1
es una pagina intuitiva;1
es una pagina importante para la ciudadania gracias;1
es una oportunidad de poder realizar la ubicacion y asi poder solicitar los titulos archivados de cada inscrpcion y poder solicitar su lectura gracias;1
es una opcion muy favorable para el usuario;1
es una muy opcion para los usuarios gracias por compartir;1
es una muy buena opcion para poder visulizar lo mas imprtante;1
es una muy buena herramienta para los usuarios;1
es una muy buena herramienta;1
es una muy buena ayuda para efectos de poder visualizar una partida;1
es una mrd su aplicacion;1
es una maravilla el aplicativo pero hay dias que ni siquiera quiera entrar o no carga el mapa;1
es una maravilla;1
es una magnifica herramienta;1
es una magnifica ayuda;1
es una lastima que no se pueda descargar la informacion y que se tenga que tomar pantallazos se pierde mucho tiempo no muestran los planos adjuntos;1
es una plataforma util;1
es una plataforma que permite efectuar una consulta rapida de titulos de propiedad;1
es una plataforma que ayuda mucha ha informarse sigan asi;1
es una plataforma muy util y facil de usar;1
es una plataforma muy util al alcance de los mas necesitados;1
es una plataforma muy didactica y de facil navegacion sin embargo considero que deberian mejorar las coordenadas que que figuran como datos tecnicos ya que no son exactos;1
es una plataforma muy amigable y util;1
es una plataforma excelente y confiable;1
es una plataforma excelente;1
es una plataforma de mucha ayuda;1
es una plataforma de acceso facil;1
es una plataforma amigable y sencilla;1
es una plataforma amigable y excelente;1
es una pija tener que marcar una encuesta cada vez que salgo;1
es una pena que no se puede imprimir;1
es una pagina que permite conocer de manera rapida la informacion de la instituciones deberia permitirse acceder a mayor informacion;1
es util solo deben ubicar la leyenda en el lado izquierdo o permitir se mueva ya que no deja ver completamente los datos;1
es util pero tambien nos gustaria acceder a las coordenadas;1
es util pero no carga;1
es util pero me gustaria poder descargar;1
es util permite ahorrar tiempo;1
es util para tener referencia gracias;1
es util para saber si esta o no registrado nuetro predio gracias sugiero que boton de ubicacion para dse vaya directamente;1
es util para nosotros;1
es util la aplicacion mejoraria en la rapidez del cursor a veces demora mucho;1
es util la aplicacion;1
es util gracias;1
es util este servicio sugiero actualizar informacion;1
es util el servicio pero en pc no puede ingresar;1
es una x;1
es una porqueria;1
escelennte;1
escelelnte;1
esat bien gracis;1
esat bien elservicio;1
esaefaewfaewsfawersfas afawsed dwja jan dxjadjna lsnen jandjae landan ndena kjndjenaje;1
esacala de ventanas graficas;1
esa sonrisa de la senorita que esta leyendo esto me encanta;1
esa senorita me tiene embobado;1
esa muy bueno;1
es versatil la web;1
es utilitario y accesible;1
es util y rapida;1
es util y permite rapido acceso;1
es util y buen servicio;1
esfgsg;1
esfefsefsefe;1
esfef;1
esfdsf;1
eseff;1
ese servicio debe continuar para hacer consultas y cuando necesitamos sacar una certificada sea la correcta y no gastar cuando nos equivocamos en los datos;1
ese cuadro de leyenda no deja ver el cuadro que sale como resultado de la consulta;1
esdfdsf;1
esdd;1
escrito a mano;1
escleente;1
escewcedascsa;1
escelnte;1
escelente servicio muy satisfecha;1
escelente muy rapida la pagina;1
especificar manzanas y lotes en el mapa;1
especificar manzanas y lotes;1
especificar los terrenos que no estan marcados cual es el por que en la leyenda;1
especificar las calles y avenidas para poder ubicarse;1
especificar la direccion del predio;1
especificar el significado de las siglas de la leyenda;1
especificar bien si se pone uu cc o p r y otros;1
espe;1
espacio para leer;1
esos ojos te hacen ver una mujer bastante activa;1
esooooooooooooooooo;1
esooooooooooooo;1
esmuy practico;1
esmuy bueno el programa;1
esm buena la ayuda que nos da la base grafica;1
esfsef;1
esperava encontrar una opcion para descargar el documento por cierto previo pago si lo abilitan seria un 10 de 10 saludos;1
esperare los resultados gracias;1
esperaba mas informacion relevante;1
esperaba encontrar mas datos pero solo encuentras lo basico;1
espera de 30 minutos que tioo de servicio es este;1
espedrapaorpodipinapadriapa;1
espectacular ustedes estan a la vanguardia de los avances tecnologicos como colocar en una plataforma la bgr de los ciudadanos inscritos en sunarp felicitaciones a todos y cada uno de ustedes;1
espectacular son los beatles del servicio digital en el peru parece un servicio de un pais desarrollado;1
espectacular es un gran servicio a la comunidad gracias;1
espectacular como sepuede ver graficamente facilita las consultas muchas gracias;1
espectacular apoyo y sobre todo justo a tiempo gracias mil;1
especificar mejor la ubicacion de coordenadas;1
especificar mejor la leyenda;1
especificar mejor el predio sea departamento lateral y independizado por piso y o nioveles;1
espero siga mejorando;1
espero se pueda mejorar el servicio por celular;1
espero que sigan mejorando;1
espero que sigan asi;1
espero que sea mas rapido y lo demas excelente;1
espero que lo puedan mejorar para que acceda mas rapido demora demasiado y no carga el grafico gracias;1
espero que el pantallazo me ayude con la anulacion de una papeleta a mi nombre sino voy a estar molesto gracias;1
espero puedan habilitar la opcion para descargar los asientos de la partida gracias por todo lo demas;1
espero pronto den el servicio de imprimir la informacion;1
espero no observen los planos si tomamos estas coordenadas como referencia;1
esperemos que se actualice y georeferenciado bien los predios tantu urbano con rural;1
esperemos que pronto toda la base grafica este debidamente digitalizada pero tambien es importante tener una delimitacion clara de las vias y areas publicas;1
espere y nunca se habilitaron las capas de informacion registral;1
espere por mucho tiempo y nunca cargo el documento que quise visualizar;1
espere no se llega a visualizar nada;1
espere los 15 minutos q dan por sesion y no arrojo ni una informacion solo se quedo cargando y cargando sin resultados pesimo servicio;1
esta bien 1;1
esta biek la pgina y es intuitiva;1
esta bieb;1
esta bastante accesible;1
esta base grafica es muy importante para ubicarse y informacion de la zona;1
esta b;1
esta aplicacion esta bien es una gran ayuda para poder averiguar en tiempo real al propietario del bien en venta;1
esta al reves;1
est muy bueno el servicio;1
est bae grafica en el sector coscomba de piura esta desfasada no es correcta y esta ocasionando problemas entre colindantes titulados tiene que corregir este error;1
est amuy bien la plataforma;1
esryhsrehsrthrsth;1
esrta bien grasias;1
esra bien;1
esta bien el servicio pero debe ser para ver mas partidas y no solo tres;1
esta bien el servicio libre faltaria visualizar los planos gracias;1
esta bien el servicio gracias;1
esta bien el servicio es rapido y me da todos los datos requeridos;1
esta bien el servicio conoce aqui;1
esta bien el precio es chevere;1
esta bien el mejoramiento del servicio;1
esta bien descrito;1
esta bien continuen dando el mejor servicio gracias;1
esta bien como regsitro publico de todos;1
esta bien claro gracias;1
esta bien asi;1
esta bien amigable;1
esta bien a seguir implementando;1
esta bien la aplicacion;1
esta bien facil y adsecible gracias;1
esta bien este tipo de servcio porque permite hacer mas rapido la atencion a registros publicos;1
esta bien este servicio de transparencia;1
esta bien esta plataforma;1
esta bien es un poco lento pero esta bien;1
esta bien es su trabajo para eo les pago el estado;1
esta bien es muy rapida y la interface en sencilla;1
esta bien en adelante dejare comentario cuando haga otras consultas;1
esta bien el tramite por esta via;1
esta bien el sisitema;1
esta bien el servicio solo que el mio no esta actualizado;1
esta bien el servicio si podrian habilitar busqueda vehicular con dni;1
esta bien me ayuda bastante;1
esta bien les agradezco;1
esta bien las medias de seguridad y asi poder visualizar;1
esta bien la splicacion;1
esta bien la plataforma nos ayuda pero seria mejor que nos deje descargar eso falta;1
esta bien la plataforma ahora que esta todo caro ya es un halibio;1
esta bien la pagina ok;1
esta bien la pagina informativa;1
esta bien la orientacion;1
esta bien la opcion;1
esta bien la informacion pero debe haber un link para pagar si quieres la informacion completa aca mis directo;1
esta bien la facilidad de informacion;1
esta bien la base grafica;1
esta bien pero debe haber opcion a imprimir con un pago;1
esta bien pero dan poco tiempo;1
esta bien pero avisen q en el celular no funciona avisen q tiene que ser en una cpu o una portatil gracias;1
esta bien pero al menos deben crear acceso para guardar el documento;1
esta bien para visualizar y leer la ficha registral;1
esta bien para visualizar pero deberia permitir imprimir es realmente honoroso estar sacando copia cada vez que uno requiere;1
esta bien para ver y con quien hacer el contrato gracias;1
esta bien para una busqueda rapida;1
esta bien para tomar referencias de la situacion del predio para evitar infiltrados u otros;1
esta bien organizado;1
esta bien ok;1
esta bien no tengo queja;1
esta bien mostrar la partida electronica;1
esta bien mejorar en ampliar campo de lectura;1
esta bien me fue util faltan datos aun asi discrepancias con cir abril 2024;1
esta bien me ayuda bastante gracias;1
esta bien que brinden esta informacion de uso publico;1
esta bien programado;1
esta bien por el momento;1
esta bien poder vizualizar tambien deberia poder imprimir;1
esta bien pero tambien considerar el quechua tambien;1
esta bien pero puede mejorar;1
esta bien pero para copiar unos gravamenes muy poco tiempo;1
esta bien pero mejorar;1
esta bien pero los documentos tiene que ser en pdf;1
esta bien pero falto mas tiempo;1
esta bien pero falta completar;1
esta bien pero estos emoticones son confusos no se a cual corresponde los circulos;1
esta bien pero es muy lento;1
esta bien pero deberia descargar toda la hoja gracias;1
esta bien pero debe ser mas facila de hace las busquedas;1
esta bien todo mas bien dar un poco mas de tiempo y que el sistema grafico se pueda exportar a autocad gracias;1
esta bien super intuitiva;1
esta bien sugeriria que el tiempo de sesion se mantenga mientras se este utilizando y se reduzca solo ante inactividad;1
esta bien solo que se debe dar oportunidad para poder imprimir;1
esta bien solo que deje imprimir no se puede;1
esta bien solo que debe ligar con la ficha registral o partida directamente para ver los datos de la partida;1
esta bien solo mejoren el cuadro de texto pues no puedo ver cuando escribo;1
esta bien solo hay que mejorar la ubicacion exacta;1
esta bien solo el cursor es pequena la pantalla o ventana de visualizacion;1
esta bien solo debe haber una herramienta para inprsion no importa que nos puedan hacer algun recargo;1
esta bien sin embargo donde indicaba plano esperaba ver un plano;1
esta bien simple;1
esta bien sigan adelante;1
esta bien rebuscada deberia ser mas accesible;1
esta bien quizas tener mejor interfaz para que sea mas facil navegar;1
esta bien que podemos hacer seguimiento de nuestros tramites;1
esta buena la aplicacion facil de revisar la partida;1
esta buena facilita la busqueda de informacion;1
esta buena este programa ayuda mucho;1
esta buena el servicio;1
esta buen;1
esta buana el servicio al instante;1
esta bonito;1
esta biw;1
esta bienn;1
esta bienm;1
esta bien ya que por este medio podemos acudir a la informacion;1
esta bien y su podrian poner la informacion completa de los predios consultados mejor;1
esta bien y asi podemos avanzar con el saneamiento de predios rurales y urbanos de nuestros ciudadanos y el desarrollo de nuestro pais sigamos asi apoyando a nuestros agricultores;1
esta bien una ayuda mas;1
esta bien todo por ahora;1
esta bueno la aplocacion;1
esta bueno gracias;1
esta bueno el servicio sigan mejorando;1
esta bueno el programa;1
esta bueno con un poco de practica y la informacion necesaria es muy util;1
esta buenisimo el servicio;1
esta buenazo;1
esta buena pero mas infotmacion con las pertidas;1
esta buena pero deben permitir descargar el documento;1
esta buena para su verificacion rapida;1
esta buena la paguina;1
esta cada mejor;1
esta cada dia mejor;1
esta busqueda tambien aparece en las alertas registrales ojala q asi sea;1
esta busqueda deberia ser directa desde el visor al dar click en el numero de partida deberia dirigir a esta pagina sin tener que volver a ingresar;1
esta bueno y practico;1
aasasasa;1
aasasa;1
aasadfgvbn;1
aafwf;1
aadsd;1
aads;1
aaddas;1
aadadaf;1
aaassss;1
aaasdfdf;1
aaas;1
abur;1
absolutamente;1
abrir mas partidas registrales;1
abrir asienros;1
esta bueno y ayuda bastante gracias;1
esta bueno sirve para despejar dudas;1
esta bueno pero sugiero actualizar la data pues no aparecen predios de mis familiares que estan inscritos;1
esta bueno pero no se visualiza bien;1
esta bueno pero aveces falla la ubicacion;1
esta bueno para previsualizar la partida;1
esta bueno para los predios;1
esta bueno para informacion referencial;1
esta bueno para conocer y cuidarse de los traficantes de terreno;1
esta bueno no dejas deescaragar;1
esta bueno me ayudo;1
esta correcto si se podria imprimi seria correcto;1
esta correcto el servicio;1
esta correcta la informacion;1
esta corecto;1
esta cool;1
esta conforme la informacion obtenida en su portal;1
esta conforme a las inscripciones de las partidas registrales;1
esta comprensible;1
esta comodo de usar aunque deberia poder visualizarse las hojas completas con una opcion para eso;1
esta colgado el sistema carga y no se visualiza nada y se acaba el tiempo deberian hacerle mantenimiento a la plataforma para evitar estos inconvenientes;1
esta colgado;1
esta claro;1
esta clara la visualizacion;1
esta caido el servicio;1
esta desplazado los lotes;1
esta desordenada los folios del tomo se deberia permitir visualizar la partida completa como un solo documento y en orden;1
esta desactualizado no es lo que realmente ahora esta lotizado;1
esta desactualizado;1
esta desactualizada seguramente estan en eso;1
esta desactualizada;1
esta desactivado la busqueda por partida;1
esta demorando mucho parece que el servidor se esta cargando con otrasbusquedas simultaneas;1
esta demorando en cargar los archivos de manera continua sale que no esta disponible el servicio;1
esta demorando en cargar las imagenes esta super lento y pierdo mis ingresos libres;1
esta demorando en cargar;1
esta demasiado lento la pagina;1
esta demasiado lento el sistema;1
esta de lo mejor;1
esta de cabeza ordenarlo;1
esta correcto y ayuda a ver las partidas;1
esta excelente gracias;1
esta excelente este servicio;1
esta excelente esta base grafica;1
esta excelente asi podemosestar mas al tanto de los predios;1
esta excelenete;1
esta es mi primera experiencia por lo pronto muy bueno solo dificultades es con la red;1
esta errada la informacion;1
esta encuesta molesta;1
esta encuesta es molesta;1
esta en problemas mejoren su sistema;1
esta el predio pero no esta el nombre del titular;1
esta eficiente;1
esta ecxelente;1
esta dinamica;1
esta desplazado pero sirve para orientarnos;1
esta excelente solo que casi no entendi lo qeu busco;1
esta excelente solo falta que permita imprimir;1
esta excelente solamente deberia dejar opcion para descargar;1
esta excelente recomiendo un semaforo para indicar si la propiedad se puede vender o no para facil lectura de lo compradores que no entienden estos registros;1
esta excelente quizas podria haber un enlace para solicitar una copia literal realizar el pago con tarjeta de credito debito y que sea enviada a mi correo electronico;1
esta excelente que con conoce mas se puede acceder de manera gratuta pero deberia ser mas difundida;1
esta excelente pero se deberia consignar la informacion completa;1
esta excelente para visualizar los datos de los predios;1
esta excelente muchas gracias por la informacion;1
esta excelente muchas gracias;1
esta excelente mas tiempo en plataforma;1
esta excelente la pagina pero deberiian de vincularla con la pagina del estado base grafica registral;1
esta excelente la pagina;1
esta excelente la informacion qaue biandan sigan asi;1
esta excelente gracias por el apoyo;1
esta fallando la plataforma;1
esta fallando la pagina no se ve nada sale en blanco todo;1
esta fallando la opcion de descargar la hoja de resumen;1
esta fallando el sistema no puedo hacer los pagos;1
esta fallando el sistema;1
esta fallando el servicio de visualizacion de partidas;1
esta fallando aparece mensaje de error;1
esta facilidad de acceso nos esta permitiendo en estos dias acelerar las consultas y las decisiones que tenemos que tomar ante la informacion encontrada nuevamente muchas gracias por este servicio;1
esta facil gracias;1
esta facil;1
esta fachando;1
esta fabulosa;1
esta exelente solo q tiene q ser un poco mas de tiempo gracias;1
esta exelente me ahorra tiempo;1
esta exelente la informacion que brindan;1
esta idea es lo maximo algo bueno siquiera en el ejecutivo;1
esta hasta la hueva;1
esta genial solo que seria mas agil contar con una ventana que deje mostrar la pagina completa gracias;1
esta genial se puede ver la informacion que se necesita para poder hacer los tramites;1
esta genial poder asi consultar quien es el propietario de un inmueble gracias;1
esta genial muchisimas gracias;1
esta genial la pagina;1
esta genial es servicio sigan asi muy buena iniciativa porque nos permite aclarar nuestras dudas para realizar nuestras solicitudes y tramites;1
esta funcionando muy bien los felicito;1
esta funcionando mal;1
esta faltamdp base grafica en cp la union distrito de rio negro provincia de satipo;1
esta fallandop la pagina;1
esta fallando su sistema no puedo visulizar la partida;1
esta fallando pagina;1
esta fallando la plataforme para visualizar las partidas;1
esta limitado de acuerdo a la potencia del equipo;1
esta lento y tengo una buena pc con fibra optica el servicio es lento la busqueda por partidas no arroja nada al menos deberia remitirte al lugar para que uno busque manualmente en toda la zona;1
esta lento hoy;1
esta la informacion requerida pero dificulta leer;1
esta interesante recien conociendo el aplicativo gracias;1
esta interesante lo que pasa que no dispuse de mayor tiempo proseguire ojala encuentre la informacion gracias;1
esta integrada la base grafica rural o solo la urbana;1
esta informacion sirve de mucha ayuda;1
esta informacion podria ser impresa con fines de informacion saludos telmo;1
esta informacion es privada y los terceros no deberian tener acceso a la misma ya que pueden realizar algun tipo de venta ilegal;1
esta inexacto estos dias;1
esta incompleto;1
esta igual q congreso;1
esta mejor que el anterior;1
esta mejor iiiiiiii;1
esta mejor el sistema;1
esta mejor el servicio;1
esta mejor cada dia;1
esta mejor buena informacion y reduce el tiempo en la sunarp;1
esta mas lento;1
esta mas complicado que el anterior;1
esta mal redactado su aumento de capital;1
esta mal que para acceder a otra busqueda deba salir y ejecutar todo el protocolo de ingreso nuevamente;1
esta mal el internet;1
esta mal;1
esta lo suficientemente bien;1
esta muy bien el servicio felicitaciones;1
esta muy bien el que pueda visualizar pero que pasa si quiero pagar por una copia y obtenerla de manera electronica;1
esta muy bien el acceso a la informacion lo cual es transparente en todo sentido gracias;1
esta muy bien desarrollada mantentengan la linea de tener pocas opciones para no marear al usaurio felicitaciones;1
esta muy bien deberia ver opcion de decargar;1
esta muy bien ayuda mucho;1
esta muy bien asi podemos tener facilidad de conocer muchos documentos que necesitamos informacion los felicito;1
esta muy bien asi;1
esta muy accesible;1
esta mucho mejor que hace unos dias;1
esta metodologia en muy util al usuario;1
esta mejorando pero aveces no se puede entrar al sistema;1
esta mejorando la informacion;1
esta mejorando la accesibilidad de la pagina;1
esta muy bien exente;1
esta muy bien exelente felicitaciones;1
esta muy bien este medio para consultas gracias;1
esta muy bien esta plataforma gcs;1
esta muy bien esta plataforma excelente no ahorra mucho tiempo;1
esta muy bien esta pagina;1
esta muy bien es rapida;1
esta muy bien es bastante amigable la pagina web;1
esta muy bien el visor grafico;1
esta muy bien el visor;1
esta muy bien el sistema y el acceso rapido y veraz;1
esta muy bien el sistema sastisfecha gracias;1
esta muy bien el sistema de informacion;1
esta muy bien el sistema;1
esta muy bien el servicio seria bueno que tambien se brinde las coordenadas;1
esta muy bien el servicio por este medio para poder realizar las consultas de las diferentes servicios;1
esta muy bien muy util;1
esta muy bien muchas gracias por sus aportes;1
esta muy bien muchas gracias;1
esta muy bien la plataforma pero deberia existir una opcion para seguir visualizando otras partidas electronicas sin salir de la sesion para volver a ingresar;1
esta muy bien la plataforma;1
esta muy bien la pagina ayuda bastante para evitar ir hasta la sunarp pero se debe de ver el cuadro completo de las partidas registrales;1
esta muy bien la pagian para consultas;1
esta muy bien la informacion que se puede visualizar en la pagina el problema es que no se puede imprimir;1
esta muy bien la informacion que nos brinda gracias;1
esta muy bien la informacion;1
esta muy bien la facilidad que nos da para poder visualizar nuestros documentos;1
esta muy bien la consulta virtual solo que falta agregar algunos titulos archivados antiguos que no tienn grafica;1
esta muy bien la aplicacion;1
esta muy bien habilitada como dicen te informas en forma correcta y veraz;1
esta muy bien gracias por este servicio;1
esta muy bien una ayuda enorme para todos los usuarios agradecer la idea exelente;1
esta muy bien su plataforma unicamente les sugeriria que extiendan un poquito mas el tiempo de visualizacion de partidas mas de 30 minutos;1
esta muy bien solo que por la cantidad de documento el tiempo debe ser mas;1
esta muy bien sin embargo recomiendo ajuntar plano de ubicacion de preduios para identificar espacialmente;1
esta muy bien sigan asi;1
esta muy bien seria bueno puedan agregar un enlace para poder solicitar una copia literal via electronica desde esta pagina;1
esta muy bien se reconoce este servicio;1
esta muy bien que se pueda acceder de modo gratuito para realizar nuevos actos juridicos;1
esta muy bien pero que no falle la pagina que hay dias que no funciona;1
esta muy bien pero mpodria mejorar en cuanto la informacion si bien se muestra los nros de partidas puede confunidir al no encontrarse nombres de calles;1
esta muy bien pero falat dettales sobre los predios;1
esta muy bien pero deberia aver un enlace para ver las escrituras publicas;1
esta muy bien para informativo;1
esta muy bien para consultas;1
esta muy bien organizado quizas seria conveniente un poco mas de tiempo para poder ver los registros;1
esta muy bueno el programa;1
esta muy bueno agregen la opcion de mover la casilla de leyenda porque tapa el espacio de partida registral;1
esta muy buena la plataforma agradeceria mucho que se pudiera ver la hoja en tamano completo en una pc;1
esta muy buena la plataforma;1
esta muy buena la pagina;1
esta muy buena elvisor grafico;1
esta muy buena el servicio;1
esta muy bonito;1
esta muy bien ya que permite ver cuantas hojas y que empresa es faltaria poner un buscador por nombre de empresas;1
esta muy bien y transparente;1
esta muy bien y nos sirve bastante para nuestro predio;1
esta muy bien y muy autodidactico;1
esta muy bien y falta actualizar predios adelante;1
esta muy bueno primera vez mi experiencia fue muy bueno gracias;1
esta muy bueno poder hacer consultas por este medio;1
esta muy bueno pero mejor seria que dejen la opcion imprimir porque igual las personas le sacan pantallaso y lo imprimen por ese lado mejor dejarian imprimir mas facil gracias;1
esta muy bueno pero deberia haber la opcion para poder bajar las hojas en pdf o imagen completa de la hoja;1
esta muy bueno para tener claro cual es el estado actual del inmueble y a posterior sacar la copia literal que debe coincidir con esta informacion;1
esta muy bueno muchas gracias;1
esta muy bueno la pagina ayuda a resolver muchas incognitas se deberia de dar almenos 30 minutos;1
esta muy bueno la aplicacion;1
esta muy bueno junin aun falta gracias;1
esta muy bueno gracias;1
esta muy bueno este servicio en linea;1
esta muy bueno este servicio;1
esta muy bueno esta pagina;1
esta muy bueno el servicio solo faltaria poder imprimir las copias;1
esta muy bueno el servicio saludos;1
esta muy bueno el servicio pero no se aprecia muy bien el pdf;1
esta muy informativo;1
esta muy informado;1
esta muy importante ya que nos ayuda a visializar los asientos en tiempo real pero se debe de imprimir los asientos;1
esta muy fluido;1
esta muy facil;1
esta muy exelente;1
esta muy excelente la plataforma asi podemos estar muy informados gracias;1
esta muy didactico y muy interesante;1
esta muy desactualizado;1
esta muy contento gracias;1
esta muy claro y pertinente;1
esta muy claro todo muchas gracias;1
esta muy bueno y practico ojala mantengan este servicio;1
esta muy bueno y me sirvio mucho;1
esta muy bueno solo falta imprimir;1
esta muy rapido e eficiente;1
esta muy practica;1
esta muy mas tiempo de navegacion;1
esta muy lento y no pude ver la partida que estuve buscando;1
esta muy lento y no aparecen las p e en las fotografias aereas;1
esta muy lento su sistema;1
esta muy lento se termino el tiempo de 15 minutos y no pude visualizar el predio;1
esta muy lento esta semana;1
esta muy lento el acceso a la base grafica;1
esta muy lento demora en cargas el mapa y por eso se acaba el tiempo de sesion sin poder utilizarlo la pagina adecuadamente;1
esta muy lenta la pagina suele salir el mensaje de predio no encontrado a pesar que son predios que anteriormente revise que si estaban;1
esta muy lenta la base no carga los numero de partida;1
esta muy lenta;1
esta muy las facilidades que dan para informarnos que sea siempre asi y mejor cada dia gracias;1
esta pagina nos ayuda bastante muchas gracias;1
esta pagina nos ayuda a ver el estado situacional del predio;1
esta pagina esta muy bien pero deberia ser ilimitado;1
esta pagina es un engano todos los dias entro y no puedo ver nada;1
esta pagina es de gran ayuda;1
esta optimo;1
esta opcion nos ayuda en tiempos y en costos;1
esta opcion es de mucha ayuda;1
esta ok solo desplasado de foto satelital;1
esta ok la informacion;1
esta ok con el tiempo para visualizar nos permiten leer las pautas de la documentacion registrada;1
esta nuy bueno;1
esta my bien;1
esta muyy bien esta pagina;1
esta muy util;1
esta perfecto el sistema;1
esta perfecto el servicio sugerencia deberia visualizar la hoja entera para una captura;1
esta perfecto el servicio gratuito;1
esta perfecto el servicio;1
esta perfecto eficiente y eficaz;1
esta perfecta la visualizacion cone sta herramienta se hace mas facil ubicar la hoja la cual se necesita felicitaciones;1
esta perfecta la pagina muestra la informacion de forma excelente;1
esta perfecta la pagina;1
esta perfecta;1
esta pendiente ubicacion espacial;1
esta pendiente actualizar algunas partidas;1
esta pecfecto estos servicios;1
esta partida que saque salio algunas hojas borrosas;1
esta partida deberia ser en tingo maria;1
esta pagina se visualiza correctamente facil de leer gracias a la orientacion de la primera ventanilla 2do piso gracias;1
esta pesimo su plataforma no carga los poligonos se demora demasiado para el tiempo que dan arreglen por favor al inicio todo era rapido pero ahora no carga nada;1
esta pesimo;1
esta perfectoe la pagina;1
esta perfecto y de gran ayuda gracias;1
esta perfecto todo;1
esta perfecto sugiero mas ingresos a la plataforma;1
esta perfecto para visualizar se mejoraria para poder imprimir una copia;1
esta perfecto para tener la informacion rapida de los datos del documento gracias;1
esta perfecto muy util gracias;1
esta perfecto la plataforma seria nesesario como ingresar a los planos gracias;1
esta perfecto la pagina;1
esta perfecto la nueva plataforma;1
esta perfecto la informacion;1
esta perfecto el sistema de visualizacion grafica no estaria mal darle mas detalles de las pertenencias de los predios de las partidas registrales;1
esta teniendo fallas al cargar los asientos;1
esta super interesante y muy bien adelante todo esta bien;1
esta super claro;1
esta super buena esta opcion de consulta gratuita;1
esta super bien;1
esta saliendo mensaje q no permite ingresar a visualizar luego de un rato hay q volver a ingresr y eso demora;1
esta regular;1
esta rapido;1
esta rapida la pagina;1
esta practica;1
esta plataforma nos hace ahorrar tiempo y dinero que es muy preciado nos facilita las cosas y ser mas asertivo en lo que busca y requiere se agradece;1
esta plataforma nos ayuda a no ser sorprendidos por personas inescrupolosas que pretenden hacer docle o mas venta de los bienes para aprovecharse de la vurocracia que existe en nuestro pais para acceder a informacion publica;1
esta plataforma es muy util grasias;1
esta plataforma es de gran ayuda para ver de forma gratuita la partida registral;1
esta vacio;1
esta vacan;1
esta un tanto lenta;1
esta un poco saturado pero es valioso;1
esta un poco desfazado los limites de los predios;1
esta un poco complicado;1
esta todo ok;1
esta todo muy bien;1
esta todo entendible;1
esta todo correcto;1
esta todo bien solo no responde mucho en celular es complicado;1
esta todo bien pero si pudieran agregar el nombre de las calles estaria genial;1
esta todo bien gracias;1
estafa muy poco tiempo;1
establecer ubicaciones de calles y avenidas o ciudades;1
estabien explicito;1
estaba muy lento;1
estaba muy bien;1
estaba lento;1
estaba buscando vigencia de poder y no encontre todavia me fue dificil volvere a intentar gracias;1
estaba bien el proceso;1
estaba bien cuando todo estaba unificado en una misma plataforma;1
esta wiiii;1
esta vez si se pudo ver;1
esta vez no salio los datos que busque parece que lo han borrado todo;1
esta vez fue muy bueno;1
esta vez de consulta en mi domicilio no carga la base grafica en otro lugar oficina comercial de verificador por la manana si ingreso con mi dni;1
estan girados los lotes;1
estan en la voisualizaicon debe permittir regresa o poner un link tmbeind e la jhoja resumen;1
estan desfasados todos los predios;1
estan bien que este servicio este a dispocision de los peruanos;1
estan bien pero me falto tiempo para ver toda la partida gracias;1
estamuy bueno;1
estamuy bien;1
estamosbn;1
estamos satisfechos con el servicio;1
estamos satisfecho muchas gracias;1
estamos para prender;1
estamos conformes;1
estamos avanzando nuevos tiempos nuevas soluciones gracias;1
estamos avanzando;1
estamos aprendiendo;1
estaria bien que la cantidad de ingreso sea ilimitada;1
estaria bien que coloquen el nombre de las calles principales o avenidas principales y puntos de referencias publicos;1
estaria bien poder descargar las paginas;1
estaremos agradecidos que progresivamente incrementen el numero de predios con bgr gracias es una excelente herramienta;1
estar alertas con ladrones;1
estan no tienen graficas completas;1
estan muy bien sigan asi;1
estan muy bien si pueden poner la fecha de la base grafica estaria fenomenal;1
estan muy bien la atencion;1
estan movidos de acuerdo a la cartografia segun ese detalle no se visualiza correctamente;1
estan mejorando pero la pagina se debe de mostrar en su totalidad;1
estan mal el numero de lote no coincide con el predio genera confucion;1
estan mal con respecto a otros paises;1
estan los datos que necesito;1
